top_stories,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,14.802,0,0,1,0,0,0,0,0,0,0,0,0.0898790888481053,0.8758555543560403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342653567958544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.009153188561658,10.879952225862048,647
1,1,1,0,9.882,1,0,0,0,0,0,0,0,0,0,0,0.0762553637524976,0.6924039437911494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171279766779128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.1040121956140405,5.372928426417624,616
1,1,1,0,16.844,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9025728798586572,0.0,0.0,0.0,0.0974271201413427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.8484548129046003,8.267716701662504,1399
1,0,0,0,1.574,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.1021482034628276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1887999351660502,0.0,0.7090518613711223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.3139924493644854,8.200861132957638,288
1,0,0,0,25.83,0,0,1,1,1,1,0,0,0,0,0,0.1303392113975902,0.7425342402242865,0.0,0.0,0.0,0.0,0.0,0.0308775642668964,0.0,0.0,0.0962489841112268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.7729163814265751,6.754377966695762,616
1,1,1,0,11.94,0,0,1,1,0,1,0,0,0,0,0,0.1482267787213446,0.7325372904474855,0.0,0.0,0.0,0.0,0.0,0.0504246050952611,0.0,0.0,0.0688113257359088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2212665718164573,6.851699081008454,1501
1,0,0,0,50.267,0,0,1,1,0,1,0,0,0,0,0,0.0,0.3232913694144946,0.0230922406724638,0.0,0.0669842314578789,0.0,0.0511375996340939,0.0984264924894439,0.0395301231028385,0.0,0.0,0.0,0.0,0.0,0.0,0.3975379432287861,0.0,0.0,0.0,0.0,0,0,0,1.7036565876730825,5.8357897897977695,616
1,0,0,0,7.335000000000001,0,0,1,1,0,0,0,0,0,0,0,0.1831437021348039,0.7710929730986298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457633247665663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.1668937960845154,6.5406807318539615,616
1,0,0,0,6.0150000000000015,0,0,1,0,0,1,0,0,0,0,0,0.163472956925402,0.6964752240095002,0.0,0.0,0.0,0.0,0.0,0.0382543452445211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9926574115949447,6.331539215743621,616
1,1,0,1,7.561000000000001,0,0,1,1,0,1,0,0,0,0,0,0.218875427611673,0.724513109308041,0.0,0.0,0.0,0.0,0.0,0.056611463080286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-2.563949857128453,3.82659582747777,1453
1,0,0,0,2.377,0,0,1,0,0,0,0,0,0,0,0,0.1983968476735398,0.443220338983051,0.0,0.0,0.1411259851020188,0.0,0.0,0.0494872071683039,0.0,0.0382543452445211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.5504602805274392,9.444090830629246,1103
1,1,0,1,15.031,0,0,1,1,0,1,0,0,0,0,0,0.1863696004528029,0.2194100697213717,0.0804690112943476,0.0,0.0,0.0,0.0,0.0589673004193573,0.0,0.0,0.0,0.0,0.4547840181121203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.2855246178151307,6.080918979073749,493
1,0,0,0,8.078000000000001,0,0,0,0,0,0,1,0,0,0,0,0.355681316254417,0.4282133392226149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0680598498233214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.494839504365783,10.0761605446076,1380
1,1,1,0,18.082,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8772416077738516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227583922261483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0090522119554663,6.044768319130293,15
1,0,0,0,11.646,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.7801928328565897,4.684997485847646,616
1,0,0,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0.1800739840989399,0.6755742049469965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.198457623637826,10.0593184771041,475
1,1,0,1,13.541,0,0,0,0,0,1,0,0,0,0,0,0.0506183745583038,0.949381625441696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.02957490326313,7.308525382786081,1429
1,0,0,0,28.07,0,0,1,1,0,1,0,0,0,0,0,0.2159026107653782,0.6439949916941463,0.096174348548335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439280489921404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.8293763327993613,6.026614485890782,1047
1,1,1,0,11.038,0,0,0,1,0,1,1,0,1,0,0,0.0,0.7071924966827633,0.0556568734966402,0.0,0.0,0.0,0.036226044702418,0.1069149999697056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940095851484727,0.0,0,0,0,2.118181369995767,7.046924001959196,616
1,0,0,0,22.265,0,0,0,0,0,0,0,0,0,0,0,0.0974271201413427,0.7582210689045937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1443518109540636,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.4977403842173352,9.935199714245757,43
