shopping_ads,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,1.66,0,0,1,1,0,0,0,0,1,1,0,0,0,0.0128033904945062,0.0,0.0,0.1935941497349693,0.0,0.0936659721851238,0.0,0.0,0.2883226193232069,0.0544188614064141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1.4560536055347435,7.721981391094818,622
1,1,1,0,9.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312857605527367,0.0,0.0494872071683039,0.5711162690273129,0.0,0.0342653567958544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.337085436194911,6.824780109174641,958
1,1,1,0,34.587,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0489327974636926,0.0,0.1605794223923055,0.7602730586734558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.696180028531723,5.864128211146371,1671
1,0,0,0,12.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7443430853935011,0.2333099427831156,0.0223469718233833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.531949256121312,6.959933981280392,622
1,0,0,0,17.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7504696102774481,0.2152650329266976,0.0342653567958544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9666035457477442,10.973672297015614,622
1,0,0,0,8.947000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0223469718233833,0.7137860304437009,0.0,0.2638669977329159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.484781307834545,4.224480613861327,1704
1,0,0,0,0.5750000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4423728813559323,0.2288675375148439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.355061658688792,8.6870849844354,622
1,1,1,0,5.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6167656266868187,0.2071844974630247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.8755964723140104,5.517589433327865,622
1,1,0,1,10.349,0,0,0,1,0,0,0,1,1,1,0,0,1,0.0330837877167452,0.0,0.0830805734289436,0.3202716365400237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3.022130747408522,5.236080195272297,635
1,0,0,0,7.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4690381086041239,0.5004048364460758,0.0305570549498002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.7289971474917398,10.733474300795317,622
1,0,0,0,12.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3972201230702796,0.26757529957897,0.0223469718233833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3128576055273671,0.0,0.0,0.0,0.0,1,1,0,2.805176911832933,8.667596917313933,622
1,1,1,0,17.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.453071926267982,6.708042568949824,622
1,0,0,0,24.356,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1198656435244265,0.537061283568402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.739936389964532,6.615209397364155,622
1,1,0,0,25.683000000000003,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.1050032875556712,0.4915143846067959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.590458945836298,8.519272029135022,622
1,1,1,0,24.779,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.2140876009585515,0.0,0.0,0.0,0.0,0.0978854175911955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.074428999856292,7.574587744554679,622
1,1,0,0,0.4360000000000001,0,0,0,1,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0156389831070255,0.0,0.0428677177359657,0.0,0.0,0.0391499375766481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.570089968007009,6.19431559115441,622
1,0,0,0,61.87500000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1851290078808161,0.6605905214293428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.714230386549605,7.033370672596571,622
1,0,0,0,9.285,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0378257783186289,0.0,0.2362042922944721,0.6431556530510945,0.0338814788721117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1473338077227546,4.591882291661156,1671
1,1,0,0,8.572000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.270641260930584,0.1983968476735398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305570549498002,0.0,0.0,0.0,0,0,0,1.6913864950812678,4.604860137928159,622
1,0,0,0,76.997,0,0,0,1,0,0,0,1,0,0,0,0,0,0.1008287121465877,0.1927686181100894,0.1094569950500577,0.3595221258699618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2374235488233032,0.0,1,1,0,4.165377573430276,5.4409837825053335,622
1,1,1,0,33.519000000000005,0,0,1,1,0,1,0,1,0,1,0,0,0,0.0126771877057248,0.0,0.0,0.3500570745230201,0.0,0.0,0.0,0.0,0.0,0.0,0.0553713467775542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.3783039828488457,5.892102670253555,786
1,1,1,0,6.263000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.6148168939669121,0.0,0.0,0.0,0.0,0.0,0.0,0.0390042818302898,0.0,0.0,0.3233937632775265,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.7450890485371966,5.476338021040286,624
1,0,0,0,5.062,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.5733852680857289,0.0,0.0,0.0,0.0,0.0,0.0,0.0431997171628507,0.0,0.0,0.3581791139394826,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.193012964089594,4.155408303297834,624
1,1,1,0,15.566,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.6148168939669121,0.0,0.0,0.0,0.0,0.0,0.0,0.0390042818302898,0.0,0.0,0.3233937632775265,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.6217616621229325,4.263538663108554,624
1,0,0,0,7.482,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0150004645212928,0.0427288124691808,0.0,0.0,0.8969048588927243,0.0,0.0,0.045365864116802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1207034394284765,7.9612132856431375,1066
1,0,0,0,39.667,0,0,0,1,0,0,1,1,1,1,0,0,1,0.0,0.0,0.0776407111618178,0.185354867845598,0.5431997528047158,0.0,0.0,0.1938046681878685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.3698698397996423,4.532061714167453,632
1,1,1,0,22.283,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0490288697100218,0.0,0.0,0.0,0.0,0.7172433670119931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.4445185888827123,4.884973804766097,632
