images,click,organic_click_3p,organic_click_1p,time_elapsed,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_ad,n_local_results,n_map_results,n_recipes,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,0,1,9.99,0,1,0,0,1,0,0,0,0,0.327603899435608,0.0716467598171989,0.0,0.3457945040390422,0.0,0.0,0.0356712446454353,0.1945839846313554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.7425692250372835,5.72772683989966,1103
1,1,1,0,4.473,0,1,0,0,0,0,0,0,0,0.0,0.0,0.1887999351660502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327700883941441,0.0,0.0,0.7784299764398057,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3.089404749416626,12.391975689468865,652
1,0,0,0,5.9270000000000005,1,1,0,1,0,0,0,0,0,0.1883947982584779,0.0119772438073825,0.0341171704260794,0.0,0.0,0.0,0.0,0.0,0.0,0.588157421725659,0.1006910167818361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404396030790475,0.0,0,0,0,3.151709855008344,4.014417125682369,777
1,1,0,1,12.977,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003384624136067,0.0,0.0,0.0,0.0929065104240734,0.0,0.0,0.0,0.0,0.0,0.0651895673938394,0.0,0.0,0.0,0,0,0,0.134530892957606,10.157039680853345,685
1,0,0,0,4.87,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.5091141712400258,0.0,0.0402612706642873,0.0477222989124945,0.0,0.0,0.0808659641089525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.235471471385307,5.687280394556695,1088
1,1,0,1,11.178,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0597877171674499,0.5693615673021071,0.0,0.0,0.1418915350900352,0.0,0.0,0.0,0.2289591804404076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9846967645382154,8.688253578583158,701
1,1,1,0,11.059,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1834805653710247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.6636802533662696,4.733273121162427,719
1,1,1,0,11.38,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1834805653710247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.403244576093223,3.333632062166389,719
1,1,1,0,10.699000000000002,1,1,0,0,1,0,0,0,0,0.2761261023393358,0.1638696731266831,0.0,0.0,0.0,0.0,0.3680836457728257,0.1321328615937054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0315819264476884,11.491080368853972,1396
1,1,1,0,9.285,1,1,0,0,1,0,0,0,0,0.0,0.0715208497810952,0.0,0.1496566903514438,0.0,0.0,0.1775999425823582,0.2110816048230819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.019160610794906,7.488820516728573,1088
1,0,0,0,23.724,1,1,0,0,0,0,0,0,0,0.5963510428355844,0.0547633788646829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088360484463877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400495298533451,0.0,0,0,0,3.760013365272136,10.963824964606504,903
1,0,0,0,6.165,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0506183745583038,0.0721400176678444,0.1800739840989399,0.0,0.3550574204946996,0.0,0.0,0.0,0.1665028710247349,0.0,0.0,0.0,0.0,0.0,0.0312555212014134,0.0,0.0,0.0,1,1,0,-0.03252319170556,6.641440621978621,798
1,1,1,0,9.286,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2069810424037598,0.2761261023393358,0.2932354649627713,0.0,0.0,0.0,0.0,0.1268310714474309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.3835405729232697,4.753624673270469,798
1,1,1,0,4.2200000000000015,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730344522968198,0.0,0.0,0.1800739840989399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468915636042403,0.0,0.0,0,0,0,2.5357581799454336,3.747384183486499,824
1,0,0,0,10.147,1,0,1,0,1,0,0,0,0,0.0500384785420725,0.1059606263542535,0.0,0.0,0.0,0.0,0.558222673412692,0.2857782216909819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.2093102199985,7.980607952681913,833
1,0,0,0,1.411,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0360493378461258,0.0,0.0,0.0,0.6348045339935943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.7765287894989963,1.556037135706985,857
