scholarly_articles,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,10.579,0,0,1,1,0,0,0,0,0,0,0,0.0818959592058494,0.0,0.0,0.0,0.0,0.9181040407941504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.5596530673541285,7.572509157840838,861
1,1,1,0,13.86,0,1,1,0,0,0,0,0,0,0,0,0.2794634898777214,0.1697596592637664,0.0338814788721117,0.0,0.0,0.4471575958454091,0.0,0.0,0.0,0.0319119978223624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.9544450515051508,11.040026640689083,790
1,0,0,0,13.738,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3546450795748666,0.0,0.0,0.6065128402812195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.385134300873296,4.426486005911421,900
1,0,0,0,6.143000000000002,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3595221258699618,0.0,0.0,0.6274579130844715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.527007825806636,8.435138310679628,731
1,1,1,0,6.252999999999999,0,0,0,1,0,0,0,0,0,0,0,0.0256801518478543,0.0,0.0,0.0,0.0,0.5223491756299081,0.0,0.0,0.3951021623432207,0.0568685101790166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.772428865105001,5.495765602733664,908
1,0,0,0,0.607,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3128576055273671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871423944726329,0.0,0.0,0.0,0,0,0,1.1419910119700547,2.1869497493951213,936
1,1,1,0,1.2060000000000002,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0305570549498002,0.5377361545935442,0.0,0.0,0.3364568714239447,0.0952499190327108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.776180372515739,5.79635557875064,1724
1,1,1,0,18.636000000000006,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5999730109035949,0.3694699341466048,0.0,0.0,0.0,0.0305570549498002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.304882452042729,7.107613007712731,952
1,1,1,0,12.345,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.3262549929828349,0.4251754291266329,0.0,0.0382543452445211,0.0,0.1760498758501565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.920631501044741,6.214702094004469,952
1,1,1,0,18.293000000000006,0,0,0,1,0,0,0,0,0,0,0,0.1009219436310395,0.0,0.0341954154465592,0.0,0.0524341142020497,0.7719161786237189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.7703988261667454,7.126297058366654,952
