top_image_carousel,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_shopping_ads,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,15.384,0,0,1,1,1,0,1,1,0,0,0,0,0,0.4606440071556351,0.1539579606440071,0.0,0.0,0.0,0.0,0.2582330460237437,0.1271649861766141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.9040459449566145,3.380075885040044,374
1,1,0,1,20.52,0,0,1,1,0,0,1,0,0,0,0,0,0,0.3056242870930948,0.0184171273142053,0.0,0.0,0.0,0.0,0.3948758445204878,0.0621830306220935,0.0363253487759936,0.0,0.1825743616741247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.249223548198609,6.302827745159846,1319
1,1,1,0,34.480000000000004,0,0,1,1,0,0,1,0,0,0,0,0,0,0.1079443638535711,0.0,0.0536735216315385,0.039252495946753,0.0,0.0,0.0,0.1186202842487508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133155085284107,0.0,0.0,0.0,0.0,1,1,0,1.345732749363768,5.998720657747748,683
1,0,0,0,114.847,0,0,1,1,1,0,1,0,0,0,0,0,0,0.1481549892951598,0.0176231056630702,0.0,0.0532975105998907,0.0595021199781705,0.0,0.4330968473195921,0.2883254271441166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9600947840472696,4.327029119703466,900
1,1,0,1,8.379000000000001,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3904390780404093,0.0,0.0,0.0,0.0,0.0,0.4991988319064007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.887088596437248,5.450248442017923,1319
1,0,0,0,4.9750000000000005,0,0,1,1,0,0,1,0,0,0,0,0,0,0.1475390918008192,0.0,0.0398130517569672,0.054440020772027,0.0,0.0,0.0,0.0681534052660935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540842036427981,0.0,0.0,0.0,0.0,0,0,0,-0.3638434334173448,7.325067927004672,959
1,1,1,0,11.291,0,0,1,1,1,0,0,0,0,0,0,0,0,0.2924478401410522,0.1008270013853322,0.0,0.0,0.0,0.0,0.4061878174719786,0.0,0.0,0.0,0.2005373410016371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.887463883927442,6.901151522098382,1726
1,1,0,1,13.33,0,0,1,1,1,1,1,0,0,0,0,0,0,0.2814927231027633,0.0,0.0,0.0,0.0,0.0,0.0541227225059467,0.04826539573191,0.0,0.0,0.2108722898140491,0.0,0.0,0.4052468688453307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.3420942260887583,5.4866955449245225,616
1,0,0,0,10.646,0,0,1,1,0,0,1,0,0,0,0,0,0,0.432102287925531,0.0187153378390426,0.0,0.0,0.0,0.0,0.3810296556520499,0.111551973179735,0.0,0.0,0.0566007454036413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.50318811259139,6.696774954793733,616
1,1,1,0,13.694,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1182696400035333,0.0,0.0,0.0,0.0,0.0332452681704662,0.0,0.0,0.0,0.7268507737153596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.8347107448817319,5.650701618619609,1196
