map_results,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_videos,n_images,n_ad,n_local_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,12.929,0,0,0,0,0,0,0,0,0.3370384917517675,0.0,0.1688531029065199,0.4615868028279655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,1,0,1,1.175573329804238,6.772299750680994,616
1,1,0,1,300.0,0,0,0,0,0,0,0,0,0.1386174391201886,0.0,0.1268578161822465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7345247446975649,1,0,1,2.216700353836876,6.730004460430896,622
1,1,1,0,7.949000000000002,0,0,0,0,0,0,0,0,0.0498664571877454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9501335428122548,0,0,0,2.259573202400755,6.1621456998459525,626
1,0,0,0,300.0,0,0,0,0,0,0,0,0,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953032207384132,1,1,0,2.6662555114451645,4.403604645827376,626
1,1,0,1,10.523,0,0,0,0,0,0,0,0,0.079489395129615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205106048703848,0,0,0,2.162172939277301,7.441748450579161,626
1,0,0,0,4.476,0,0,0,0,0,0,0,0,0.5085545954438335,0.09827965435978,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441555380989787,0.1164886095836606,1,1,0,3.0944004453506926,3.677135766156765,1240
1,1,0,1,23.506,0,0,0,0,0,0,0,0,0.3118774548311077,0.1830871956009427,0.2053809897879026,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218853102906518,1,0,1,2.222133968596419,3.7678292570923375,463
1,0,0,0,1.6969999999999998,0,0,0,0,0,0,0,0,0.1189866457187745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8810133542812255,1,0,1,3.091269700263055,3.769929346714099,642
1,1,0,1,11.625,0,0,0,0,0,0,0,0,0.5085545954438335,0.09827965435978,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441555380989787,0.1164886095836606,1,0,1,2.40432907687733,4.427310659514026,1240
1,1,1,0,22.074,0,0,0,0,0,0,0,0,0.5085545954438335,0.09827965435978,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441555380989787,0.1164886095836606,1,0,1,2.45315795147342,5.438626985008222,1240
